uid_user,user_id
0,76561197970982479
277,js41637
1165,evcentric
1302,Riot-Punch
1630,doctr
2171,MinxIsBetterThanPotatoes
2542,NitemarePK
2846,themanwich
3104,maplemage
3733,corrupted_soul
3848,jorellpogi
3919,cadmusthreepointoh
4172,76561198064823719
4227,MeaTCompany
4241,76561198089393905
4344,76561198156664158
4403,76561198077246154
4577,76561198070234207
4610,WeiEDKrSat
4638,thequeenpanda
5162,death-hunter
5283,turneddreamsintoanempire
5379,DJKamBer
5531,76561198030389591
5543,Rainbow-Dashie
5602,btuty8trgt
5701,76561198043472122
5789,MarbleShrine
5974,fdcfelipefdc
6017,bbaekhyun
6094,Moomfina
6144,PPanther
6206,ABSOLUTLY_NOTHING
6402,devvonst
6470,Fr0stedLine
6520,76561198058373434
6569,76561198048353577
6664,76561198072190369
6696,76561198066046412
6744,tru_mu_
6806,wirlom
6856,76561198070565427
6931,SavageEeEe
6963,76561198076909484
6974,76561198066908262
6984,KanadeTheNeko
7057,Leaf_Light_Moscow
7062,erickoiv
7068,GoAwayZach
7127,76561198054540475
7233,76561198100701221
7329,76561198085547365
7394,76561198061252210
7419,OfficialShroomsy
7470,76561198056147391
7477,8Bit-Ninja
7558,76561198071500702
7571,76561198099905030
7649,76561198047407223
7705,latiano
7777,kongtape
7850,boydeer
7999,76561198100297613
8073,VVillis
8241,76561198083226897
8247,76561198075277292
8261,76561198094630961
8281,12549
8345,76561198028895010
8535,76561198092411867
8555,76561198170198366
8582,diego9031
8782,iampiepiepie
8823,76561198079863506
8849,jarrodtrim
9010,76561198078738103
9043,76561198068964564
9055,76561198067936203
9101,76561198079770573
9131,UpTheAss
9141,76561197977385164
9153,76561198075491015
9187,76561198087586464
9218,76561198086878953
9403,Derp-e
9421,76561198070194565
9635,Rivtex
9686,firefreddy
9711,UTNerd24
9899,sandwiches1
10071,76561198093083895
10086,76561198138053270
10150,76561198062422084
10233,Life-Of-Blu
10297,CaptianAutismo
10359,maxgp
10436,AppaTheSwagBison
10513,knightboy991
10580,76561198034678103
10629,76561198075895633
10667,TheDropix101
10683,kube134
11159,iamthekingofbrowntown
11283,MainScout
11319,gdxsd
11398,yookobz
11572,Posiblydead
11827,Mossy_Gaming
11848,76561198093817084
11913,76561198102421718
12001,76561198079045885
12037,76561198087407319
12103,76561198074466513
12134,damo131
12154,19702316748
12248,FrystHjarte
12287,76561198056741844
12544,sad-commie
12850,76561198030567998
12925,Coldaniel
13058,therealmorty
13232,itslonk
13365,DeDroidUreLookin4
13417,Berserklejerker
13540,76561198088799241
13616,76561198061730629
13703,YoHuNz
13856,possessioniskey
13879,76561198072732874
13928,76561198093112529
13958,sevqu
13986,76561198060447950
14041,whiteofwolfing
14062,76561198056857968
14126,sergarino
14206,PyroCreed
14261,76561198052897627
14281,76561198081962345
14376,76561198039266268
14389,76561198094224872
14414,76561198073210139
14453,Nozomikat
14561,76561198076933844
14594,76561198072186059
14651,xfluttersx
14995,76561198068621601
15003,76561198056290589
15044,ii_voltage_ii
15500,76561198097762318
15522,Hirukaz
15603,StelerForYou
15671,76561198183396245
15695,otteloo
15810,shinra420
15852,Xx-Woods
16025,kevinator23
16096,tonyballoney
16134,76561198090715178
16216,Child_Vs_Puddle
16244,76561198073784601
16313,mimimomoma
16504,76561198102410011
16526,de_Butl3r
16543,76561198157999555
16546,76561198027947401
16573,Bluezap1
16623,76561198074200011
16627,jonasdbomb
17088,L1J1N
17122,Lord_Exploit
17170,76561198079106676
17253,76561198092244787
17286,Sanctus94
17361,76561197990792016
17474,AVATAR715
17660,76561198073987767
17684,Fluxxyz
17692,76561198092150873
17767,YieuwMage
17837,Nfkted_CS
17854,A-Very-Sly-Person
17899,76561197994493402
18050,76561198065656175
18160,76561198188979775
18168,97396295
18190,xoFushiox
18239,76561198126640317
18266,DemonicWolvz
18372,DieMadchenschanderin
18572,76561198072706529
18631,76561198215949741
18633,GGargula
18818,Myther43
19031,getf0kinn0sc0pedm9
19109,76561198141443390
19216,76561198031924053
19220,76561198097333029
19243,dominiclim99
19259,whodafuqisthisguilao
19300,76561198072205329
19321,Icamebackbitches
19397,Magjiikal
19559,ohnospaghet
19735,76561198060062487
19740,76561198050347115
19835,2768820078
19926,76561198049968536
19979,76561198056392326
20120,2d4nk4m3
20280,76561198074003102
20289,76561198078478151
20312,exiaez
20349,BURNINGchicken3
20656,76561198066835162
20768,76561198069593452
20802,undietaker
20894,76561198095921854
20976,EizanAratoFujimaki
21367,POOTISSPENSOR
21393,angorabug
21442,TeCool
21498,ZyhgarThestarweaver
21677,2xDelorean
21732,washington_
21844,76561198088944293
21975,76561198061769804
22015,76561198051258119
22088,76561198065771371
22152,nubquake123
22228,Pyromanic
22269,76561198109656922
22312,76561198149432604
22326,Unplanned_stategy
22365,CobRazor
22435,relesprit
22539,76561198090294067
22598,jimmyarcexd
22599,talove112345
22704,76561198055094875
22745,WitchHunter4542
22820,76561198203244300
22860,pwrt
22911,wantmahbody
22994,76561198115868847
23027,benedictcuminherbatch
23032,76561198031207016
23073,76561198089077856
23077,76561198043458582
23245,smashiroshh
23417,shark854
23454,76561198062876401
23607,76561198011661078
23618,PabloSanches
23734,76561197991074667
23748,killbunny38
23858,76561198047630659
23991,76561198069713121
24106,1997-07-06_J077
24113,76561198076248461
24132,1337lolroflmao
24329,76561198080832419
24339,76561198151645088
24366,IAA_Recon_Dropbear
24561,goonbagger
24591,76561198060039459
24626,OzfurAtlas
24751,76561198065593074
24862,madmax64
24943,76561198044169764
25000,euzi
25019,lucasrash
25046,76561198082845362
25052,76561198087767019
25077,thisissohardtomakeoneup
25092,76561198087010391
25099,66666669999999
25220,76561198061174192
25351,DoaFapbeforeaNap
25465,ReMiXOfficalSteam
25571,Wilfire77
25684,76561198042730234
25720,76561198069159579
25745,76561198086476445
25763,76561198085016240
25822,76561198060808273
26132,76561198084390807
26158,76561198003688205
26165,Mastic
26530,Scooterinooo
26570,76561198028286104
26600,76561198088447673
26636,tarjla
26829,deathnz1
27079,readingthis4noobs
27136,SonicMCGamer
27155,xXBoss1Xx
27158,76561198084698198
27301,76561198104393251
27352,Borne901
27410,76561198075322986
27501,redsncrimson
27566,76561198151910904
27604,H1DD3NT3RR0R
27712,76561198071214618
27805,76561198115115631
27863,sisiiik
27896,76561198071175142
27963,t8s
28033,pikawuu2
28133,Sammeh00
28229,godlike_bot
28262,dpswaffles
28280,NoObFiGHtEr
28329,Michaelele
28395,76561198045754869
28519,76561198076098774
28528,76561198074963071
28552,76561198103253374
28578,76561198048417105
28590,76561197989175394
28621,76561198090842891
28661,76561198058706736
28681,76561198055767971
28776,76561197998052647
28889,adohya343
29026,76561198145436942
29060,3xotic26
29213,iamthetrashlord
29404,nothingheretrustme
29448,76561198071253729
29491,3dster
29604,76561198041808338
29685,76561198016685643
29809,76561198079990063
29835,Forty-Nine
29949,76561198051017916
30712,L4M1NAS
30786,emurphy8
30815,76561198096766604
30863,Sephirical
30993,76561197995322437
31029,imsojipper
31225,76561198066840831
31232,76561198096220900
31270,76561198084542731
31331,fullswag0to100realquick
31355,76561198102121026
31356,76561198103671881
31452,mrpfresh
32243,GamerFag
32307,76561197970628046
32390,76561198013858002
32430,76561198058570014
32497,76561198045133986
32540,76561198002820828
32669,chidori_647
33392,76561198092227136
33725,hellcat59
33780,76561198007584361
33918,tbimperator
34197,Allahu_Akbar666
34283,ulramite
34418,76561198080534850
34481,-GM-Dragon
34587,LeoRocksAce
34611,76561198054040292
34701,76561198155458511
34757,I_DID_911_JUST_SAYING
34911,76561198077035732
34925,76561198072625764
34969,A_Je_100
34982,imagoatieatpoo
35004,750805
35694,76561198080881726
35737,Thatishayden
35859,Flabbernackle
36120,diabeticfuck
36241,magicalpony
36247,76561197962104795
36326,76561198054465623
36556,76561198074257942
36734,aaropro
36770,Aaron_ggf
37434,abiam
37480,76561198037346576
37569,FrankoWalker
37622,LightfootSword7
37877,DaDanMan
38061,SALTTHEW0UND
38175,express157
38250,76561198074644990
38382,76561198064304806
38418,3456457568
38508,TomoeMamiewe
38571,76561198057086148
38637,Acidius99
38765,76561198067150343
38870,acorn13
39274,adamcookie
39314,AddzyTheBaddzy
39452,76561197997824340
39707,76561198076154360
39725,76561198055524901
39753,mradobe7
40003,zomboy151
40167,76561198167207237
40225,cancerkek
40275,matto1499
40330,76561198073508075
40377,76561198090899557
40439,76561198072468669
40451,Advancebest
40543,advenger95
40647,EndAtHallow
40713,76561198060820384
40737,76561198063624801
40824,aeryal
40879,vault_brothers
40938,After2night
40968,76561198029090446
41047,76561197968819541
41086,76561198015968275
41364,defender_10
41418,Agiegamma
41527,76561198082614708
41555,76561198066465411
41593,Agronoth
41799,UnholyFallenAngel
41882,Ricardio556
41995,madgamerzzz
42010,76561198068565589
42130,SlutOnTheSpit
42192,WestyGaming
42281,NaruseAiria
42671,76561198265081359
42687,76561198046844795
42698,76561198067713802
42744,76561198187212131
42773,rjh91
42824,alansiulun
42871,Albolah
42882,76561198003056556
43439,76561198063941075
43667,76561198088886304
43764,maxpaynepillkiller
43971,76561198056092813
44207,76561198095481910
44281,76561198089024454
44335,76561198034129825
44446,76561198164545985
44450,tninjat
44476,76561198068935240
44566,76561198036955150
44590,76561198018840908
44691,AlkalineDeath
44744,76561198075935236
44786,Jupeter117
44900,gsgg
45004,76561198075258452
45054,Jesusunholy
45076,mintifreshbadger
45177,HenryCT
45212,AlpacaRevolution
45269,76561197996305896
45341,AlphaBryn444
45440,76561198009001563
45685,76561198016753953
45716,smegmyfoodle
45794,altas2011
45838,silentbroadcaster
45954,76561198057869849
46038,lol_ursuchanoob
46198,rhysf
46249,76561198098156489
46306,76561198040021446
46363,76561198035890730
46393,AMV72
47434,76561198069170979
47484,76561198085956238
47572,76561198132540690
